,都道府県コード,都道府県名,元号,和暦（年）,西暦（年）,注,人口（総数）,前回集計時との差分,増減割合
463,31,鳥取県,昭和,40.0,1965.0,,"579,853","-19,282",-3.33%
513,31,鳥取県,昭和,45.0,1970.0,,"568,777","-11,076",-1.95%
563,31,鳥取県,昭和,50.0,1975.0,,"581,311","12,534",2.16%
613,31,鳥取県,昭和,55.0,1980.0,,"604,221","22,910",3.79%
663,31,鳥取県,昭和,60.0,1985.0,,"616,024","11,803",1.92%
713,31,鳥取県,平成,2.0,1990.0,,"615,722",-302,-0.05%
763,31,鳥取県,平成,7.0,1995.0,,"614,929",-793,-0.13%
813,31,鳥取県,平成,12.0,2000.0,,"613,289","-1,640",-0.27%
863,31,鳥取県,平成,17.0,2005.0,,"607,012","-6,277",-1.03%
913,31,鳥取県,平成,22.0,2010.0,,"588,667","-18,345",-3.12%
963,31,鳥取県,平成,27.0,2015.0,,"573,441","-15,226",-2.66%
32,32,島根県,大正,9.0,1920.0,,"714,712",0,0.00%
80,32,島根県,大正,14.0,1925.0,,"722,402","7,690",1.06%
128,32,島根県,昭和,5.0,1930.0,,"739,507","17,105",2.31%
176,32,島根県,昭和,10.0,1935.0,,"747,119","7,612",1.02%
224,32,島根県,昭和,15.0,1940.0,,"740,940","-6,179",-0.83%
272,32,島根県,昭和,20.0,1945.0,1),"860,275","119,335",13.87%
320,32,島根県,昭和,25.0,1950.0,,"912,551","52,276",5.73%
368,32,島根県,昭和,30.0,1955.0,,"929,066","16,515",1.78%
416,32,島根県,昭和,35.0,1960.0,2),"888,886","-40,180",-4.52%
464,32,島根県,昭和,40.0,1965.0,,"821,620","-67,266",-8.19%
514,32,島根県,昭和,45.0,1970.0,,"773,575","-48,045",-6.21%
564,32,島根県,昭和,50.0,1975.0,,"768,886","-4,689",-0.61%
614,32,島根県,昭和,55.0,1980.0,,"784,795","15,909",2.03%
664,32,島根県,昭和,60.0,1985.0,,"794,629","9,834",1.24%
714,32,島根県,平成,2.0,1990.0,,"781,021","-13,608",-1.74%
764,32,島根県,平成,7.0,1995.0,,"771,441","-9,580",-1.24%
814,32,島根県,平成,12.0,2000.0,,"761,503","-9,938",-1.31%
864,32,島根県,平成,17.0,2005.0,,"742,223","-19,280",-2.60%
914,32,島根県,平成,22.0,2010.0,,"717,397","-24,826",-3.46%
964,32,島根県,平成,27.0,2015.0,,"694,352","-23,045",-3.32%
33,33,岡山県,大正,9.0,1920.0,,"1,217,698",0,0.00%
81,33,岡山県,大正,14.0,1925.0,,"1,238,447","20,749",1.68%
129,33,岡山県,昭和,5.0,1930.0,,"1,283,962","45,515",3.54%
177,33,岡山県,昭和,10.0,1935.0,,"1,332,647","48,685",3.65%
225,33,岡山県,昭和,15.0,1940.0,,"1,329,358","-3,289",-0.25%
273,33,岡山県,昭和,20.0,1945.0,1),"1,564,626","235,268",15.04%
321,33,岡山県,昭和,25.0,1950.0,,"1,661,099","96,473",5.81%
369,33,岡山県,昭和,30.0,1955.0,,"1,689,800","28,701",1.70%
417,33,岡山県,昭和,35.0,1960.0,2),"1,670,454","-19,346",-1.16%
465,33,岡山県,昭和,40.0,1965.0,,"1,645,135","-25,319",-1.54%
515,33,岡山県,昭和,45.0,1970.0,,"1,707,026","61,891",3.63%
565,33,岡山県,昭和,50.0,1975.0,,"1,814,305","107,279",5.91%
615,33,岡山県,昭和,55.0,1980.0,,"1,871,023","56,718",3.03%
665,33,岡山県,昭和,60.0,1985.0,,"1,916,906","45,883",2.39%
715,33,岡山県,平成,2.0,1990.0,,"1,925,877","8,971",0.47%
765,33,岡山県,平成,7.0,1995.0,,"1,950,750","24,873",1.28%
815,33,岡山県,平成,12.0,2000.0,,"1,950,828",78,0.00%
865,33,岡山県,平成,17.0,2005.0,,"1,957,264","6,436",0.33%
915,33,岡山県,平成,22.0,2010.0,,"1,945,276","-11,988",-0.62%
965,33,岡山県,平成,27.0,2015.0,,"1,921,525","-23,751",-1.24%
34,34,広島県,大正,9.0,1920.0,,"1,541,905",0,0.00%
82,34,広島県,大正,14.0,1925.0,,"1,617,680","75,775",4.68%
130,34,広島県,昭和,5.0,1930.0,,"1,692,136","74,456",4.40%
178,34,広島県,昭和,10.0,1935.0,,"1,804,916","112,780",6.25%
226,34,広島県,昭和,15.0,1940.0,,"1,869,504","64,588",3.45%
274,34,広島県,昭和,20.0,1945.0,1),"1,885,471","15,967",0.85%
322,34,広島県,昭和,25.0,1950.0,,"2,081,967","196,496",9.44%
370,34,広島県,昭和,30.0,1955.0,,"2,149,044","67,077",3.12%
418,34,広島県,昭和,35.0,1960.0,2),"2,184,043","34,999",1.60%
466,34,広島県,昭和,40.0,1965.0,,"2,281,146","97,103",4.26%
516,34,広島県,昭和,45.0,1970.0,,"2,436,135","154,989",6.36%
566,34,広島県,昭和,50.0,1975.0,,"2,646,324","210,189",7.94%
616,34,広島県,昭和,55.0,1980.0,,"2,739,161","92,837",3.39%
666,34,広島県,昭和,60.0,1985.0,,"2,819,200","80,039",2.84%
716,34,広島県,平成,2.0,1990.0,,"2,849,847","30,647",1.08%
766,34,広島県,平成,7.0,1995.0,,"2,881,748","31,901",1.11%
816,34,広島県,平成,12.0,2000.0,,"2,878,915","-2,833",-0.10%
866,34,広島県,平成,17.0,2005.0,,"2,876,642","-2,273",-0.08%
916,34,広島県,平成,22.0,2010.0,,"2,860,750","-15,892",-0.56%
966,34,広島県,平成,27.0,2015.0,,"2,843,990","-16,760",-0.59%
35,35,山口県,大正,9.0,1920.0,,"1,041,013",0,0.00%
83,35,山口県,大正,14.0,1925.0,,"1,094,544","53,531",4.89%
131,35,山口県,昭和,5.0,1930.0,,"1,135,637","41,093",3.62%
179,35,山口県,昭和,10.0,1935.0,,"1,190,542","54,905",4.61%
227,35,山口県,昭和,15.0,1940.0,,"1,294,242","103,700",8.01%
275,35,山口県,昭和,20.0,1945.0,1),"1,356,491","62,249",4.59%
323,35,山口県,昭和,25.0,1950.0,,"1,540,882","184,391",11.97%
371,35,山口県,昭和,30.0,1955.0,,"1,609,839","68,957",4.28%
419,35,山口県,昭和,35.0,1960.0,2),"1,602,207","-7,632",-0.48%
467,35,山口県,昭和,40.0,1965.0,,"1,543,573","-58,634",-3.80%
517,35,山口県,昭和,45.0,1970.0,,"1,511,448","-32,125",-2.13%
567,35,山口県,昭和,50.0,1975.0,,"1,555,218","43,770",2.81%
617,35,山口県,昭和,55.0,1980.0,,"1,587,079","31,861",2.01%
667,35,山口県,昭和,60.0,1985.0,,"1,601,627","14,548",0.91%
717,35,山口県,平成,2.0,1990.0,,"1,572,616","-29,011",-1.84%
767,35,山口県,平成,7.0,1995.0,,"1,555,543","-17,073",-1.10%
817,35,山口県,平成,12.0,2000.0,,"1,527,964","-27,579",-1.80%
867,35,山口県,平成,17.0,2005.0,,"1,492,606","-35,358",-2.37%
917,35,山口県,平成,22.0,2010.0,,"1,451,338","-41,268",-2.84%
967,35,山口県,平成,27.0,2015.0,,"1,404,729","-46,609",-3.32%
36,36,徳島県,大正,9.0,1920.0,,"670,212",0,0.00%
84,36,徳島県,大正,14.0,1925.0,,"689,814","19,602",2.84%
132,36,徳島県,昭和,5.0,1930.0,,"716,544","26,730",3.73%
180,36,徳島県,昭和,10.0,1935.0,,"728,748","12,204",1.67%
228,36,徳島県,昭和,15.0,1940.0,,"718,717","-10,031",-1.40%
276,36,徳島県,昭和,20.0,1945.0,1),"835,763","117,046",14.00%
324,36,徳島県,昭和,25.0,1950.0,,"878,511","42,748",4.87%
372,36,徳島県,昭和,30.0,1955.0,,"878,109",-402,-0.05%
420,36,徳島県,昭和,35.0,1960.0,2),"847,274","-30,835",-3.64%
468,36,徳島県,昭和,40.0,1965.0,,"815,115","-32,159",-3.95%
518,36,徳島県,昭和,45.0,1970.0,,"791,111","-24,004",-3.03%
568,36,徳島県,昭和,50.0,1975.0,,"805,166","14,055",1.75%
618,36,徳島県,昭和,55.0,1980.0,,"825,261","20,095",2.43%
668,36,徳島県,昭和,60.0,1985.0,,"834,889","9,628",1.15%
718,36,徳島県,平成,2.0,1990.0,,"831,598","-3,291",-0.40%
768,36,徳島県,平成,7.0,1995.0,,"832,427",829,0.10%
818,36,徳島県,平成,12.0,2000.0,,"824,108","-8,319",-1.01%
868,36,徳島県,平成,17.0,2005.0,,"809,950","-14,158",-1.75%
918,36,徳島県,平成,22.0,2010.0,,"785,491","-24,459",-3.11%
968,36,徳島県,平成,27.0,2015.0,,"755,733","-29,758",-3.94%
37,37,香川県,大正,9.0,1920.0,,"677,852",0,0.00%
85,37,香川県,大正,14.0,1925.0,,"700,308","22,456",3.21%
133,37,香川県,昭和,5.0,1930.0,,"732,816","32,508",4.44%
181,37,香川県,昭和,10.0,1935.0,,"748,656","15,840",2.12%
229,37,香川県,昭和,15.0,1940.0,,"730,394","-18,262",-2.50%
277,37,香川県,昭和,20.0,1945.0,1),"863,700","133,306",15.43%
325,37,香川県,昭和,25.0,1950.0,,"946,022","82,322",8.70%
373,37,香川県,昭和,30.0,1955.0,,"943,823","-2,199",-0.23%
421,37,香川県,昭和,35.0,1960.0,2),"918,867","-24,956",-2.72%
469,37,香川県,昭和,40.0,1965.0,,"900,845","-18,022",-2.00%
519,37,香川県,昭和,45.0,1970.0,,"907,897","7,052",0.78%
569,37,香川県,昭和,50.0,1975.0,,"961,292","53,395",5.55%
619,37,香川県,昭和,55.0,1980.0,,"999,864","38,572",3.86%
669,37,香川県,昭和,60.0,1985.0,,"1,022,569","22,705",2.22%
719,37,香川県,平成,2.0,1990.0,,"1,023,412",843,0.08%
769,37,香川県,平成,7.0,1995.0,,"1,027,006","3,594",0.35%
819,37,香川県,平成,12.0,2000.0,,"1,022,890","-4,116",-0.40%
869,37,香川県,平成,17.0,2005.0,,"1,012,400","-10,490",-1.04%
919,37,香川県,平成,22.0,2010.0,,"995,842","-16,558",-1.66%
969,37,香川県,平成,27.0,2015.0,,"976,263","-19,579",-2.01%
38,38,愛媛県,大正,9.0,1920.0,,"1,046,720",0,0.00%
86,38,愛媛県,大正,14.0,1925.0,,"1,096,366","49,646",4.53%
134,38,愛媛県,昭和,5.0,1930.0,,"1,142,122","45,756",4.01%
182,38,愛媛県,昭和,10.0,1935.0,,"1,164,898","22,776",1.96%
230,38,愛媛県,昭和,15.0,1940.0,,"1,178,705","13,807",1.17%
278,38,愛媛県,昭和,20.0,1945.0,1),"1,361,484","182,779",13.42%
326,38,愛媛県,昭和,25.0,1950.0,,"1,521,878","160,394",10.54%
374,38,愛媛県,昭和,30.0,1955.0,,"1,540,628","18,750",1.22%
422,38,愛媛県,昭和,35.0,1960.0,2),"1,500,687","-39,941",-2.66%
470,38,愛媛県,昭和,40.0,1965.0,,"1,446,384","-54,303",-3.75%
520,38,愛媛県,昭和,45.0,1970.0,,"1,418,124","-28,260",-1.99%
570,38,愛媛県,昭和,50.0,1975.0,,"1,465,215","47,091",3.21%
620,38,愛媛県,昭和,55.0,1980.0,,"1,506,637","41,422",2.75%
670,38,愛媛県,昭和,60.0,1985.0,,"1,529,983","23,346",1.53%
720,38,愛媛県,平成,2.0,1990.0,,"1,515,025","-14,958",-0.99%
770,38,愛媛県,平成,7.0,1995.0,,"1,506,700","-8,325",-0.55%
820,38,愛媛県,平成,12.0,2000.0,,"1,493,092","-13,608",-0.91%
870,38,愛媛県,平成,17.0,2005.0,,"1,467,815","-25,277",-1.72%
920,38,愛媛県,平成,22.0,2010.0,,"1,431,493","-36,322",-2.54%
970,38,愛媛県,平成,27.0,2015.0,,"1,385,262","-46,231",-3.34%
39,39,高知県,大正,9.0,1920.0,,"670,895",0,0.00%
87,39,高知県,大正,14.0,1925.0,,"687,478","16,583",2.41%
135,39,高知県,昭和,5.0,1930.0,,"718,152","30,674",4.27%
183,39,高知県,昭和,10.0,1935.0,,"714,980","-3,172",-0.44%
231,39,高知県,昭和,15.0,1940.0,,"709,286","-5,694",-0.80%
279,39,高知県,昭和,20.0,1945.0,1),"775,578","66,292",8.55%
327,39,高知県,昭和,25.0,1950.0,,"873,874","98,296",11.25%
375,39,高知県,昭和,30.0,1955.0,,"882,683","8,809",1.00%
423,39,高知県,昭和,35.0,1960.0,2),"854,595","-28,088",-3.29%
471,39,高知県,昭和,40.0,1965.0,,"812,714","-41,881",-5.15%
521,39,高知県,昭和,45.0,1970.0,,"786,882","-25,832",-3.28%
571,39,高知県,昭和,50.0,1975.0,,"808,397","21,515",2.66%
621,39,高知県,昭和,55.0,1980.0,,"831,275","22,878",2.75%
671,39,高知県,昭和,60.0,1985.0,,"839,784","8,509",1.01%
721,39,高知県,平成,2.0,1990.0,,"825,034","-14,750",-1.79%
771,39,高知県,平成,7.0,1995.0,,"816,704","-8,330",-1.02%
821,39,高知県,平成,12.0,2000.0,,"813,949","-2,755",-0.34%
871,39,高知県,平成,17.0,2005.0,,"796,292","-17,657",-2.22%
921,39,高知県,平成,22.0,2010.0,,"764,456","-31,836",-4.16%
971,39,高知県,平成,27.0,2015.0,,"728,276","-36,180",-4.97%
40,40,福岡県,大正,9.0,1920.0,,"2,188,249",0,0.00%
88,40,福岡県,大正,14.0,1925.0,,"2,301,668","113,419",4.93%
136,40,福岡県,昭和,5.0,1930.0,,"2,527,119","225,451",8.92%
184,40,福岡県,昭和,10.0,1935.0,,"2,755,804","228,685",8.30%
232,40,福岡県,昭和,15.0,1940.0,,"3,094,132","338,328",10.93%
280,40,福岡県,昭和,20.0,1945.0,1),"2,746,855","-347,277",-12.64%
328,40,福岡県,昭和,25.0,1950.0,,"3,530,169","783,314",22.19%
376,40,福岡県,昭和,30.0,1955.0,,"3,859,764","329,595",8.54%
424,40,福岡県,昭和,35.0,1960.0,2),"4,006,679","146,915",3.67%
472,40,福岡県,昭和,40.0,1965.0,,"3,964,611","-42,068",-1.06%
522,40,福岡県,昭和,45.0,1970.0,,"4,027,416","62,805",1.56%
572,40,福岡県,昭和,50.0,1975.0,,"4,292,963","265,547",6.19%
622,40,福岡県,昭和,55.0,1980.0,,"4,553,461","260,498",5.72%
672,40,福岡県,昭和,60.0,1985.0,,"4,719,259","165,798",3.51%
722,40,福岡県,平成,2.0,1990.0,,"4,811,050","91,791",1.91%
772,40,福岡県,平成,7.0,1995.0,,"4,933,393","122,343",2.48%
822,40,福岡県,平成,12.0,2000.0,,"5,015,699","82,306",1.64%
872,40,福岡県,平成,17.0,2005.0,,"5,049,908","34,209",0.68%
922,40,福岡県,平成,22.0,2010.0,,"5,071,968","22,060",0.43%
972,40,福岡県,平成,27.0,2015.0,,"5,101,556","29,588",0.58%
41,41,佐賀県,大正,9.0,1920.0,,"673,895",0,0.00%
89,41,佐賀県,大正,14.0,1925.0,,"684,831","10,936",1.60%
137,41,佐賀県,昭和,5.0,1930.0,,"691,565","6,734",0.97%
185,41,佐賀県,昭和,10.0,1935.0,,"686,117","-5,448",-0.79%
233,41,佐賀県,昭和,15.0,1940.0,,"701,517","15,400",2.20%
281,41,佐賀県,昭和,20.0,1945.0,1),"830,431","128,914",15.52%
329,41,佐賀県,昭和,25.0,1950.0,,"945,082","114,651",12.13%
377,41,佐賀県,昭和,30.0,1955.0,,"973,749","28,667",2.94%
425,41,佐賀県,昭和,35.0,1960.0,2),"942,874","-30,875",-3.27%
473,41,佐賀県,昭和,40.0,1965.0,,"871,885","-70,989",-8.14%
523,41,佐賀県,昭和,45.0,1970.0,,"838,468","-33,417",-3.99%
573,41,佐賀県,昭和,50.0,1975.0,,"837,674",-794,-0.09%
623,41,佐賀県,昭和,55.0,1980.0,,"865,574","27,900",3.22%
673,41,佐賀県,昭和,60.0,1985.0,,"880,013","14,439",1.64%
723,41,佐賀県,平成,2.0,1990.0,,"877,851","-2,162",-0.25%
773,41,佐賀県,平成,7.0,1995.0,,"884,316","6,465",0.73%
823,41,佐賀県,平成,12.0,2000.0,,"876,654","-7,662",-0.87%
873,41,佐賀県,平成,17.0,2005.0,,"866,369","-10,285",-1.19%
923,41,佐賀県,平成,22.0,2010.0,,"849,788","-16,581",-1.95%
973,41,佐賀県,平成,27.0,2015.0,,"832,832","-16,956",-2.04%
42,42,長崎県,大正,9.0,1920.0,,"1,136,182",0,0.00%
90,42,長崎県,大正,14.0,1925.0,,"1,163,945","27,763",2.39%
138,42,長崎県,昭和,5.0,1930.0,,"1,233,362","69,417",5.63%
186,42,長崎県,昭和,10.0,1935.0,,"1,296,883","63,521",4.90%
234,42,長崎県,昭和,15.0,1940.0,,"1,370,063","73,180",5.34%
282,42,長崎県,昭和,20.0,1945.0,1),"1,318,589","-51,474",-3.90%
330,42,長崎県,昭和,25.0,1950.0,,"1,645,492","326,903",19.87%
378,42,長崎県,昭和,30.0,1955.0,,"1,747,596","102,104",5.84%
426,42,長崎県,昭和,35.0,1960.0,2),"1,760,421","12,825",0.73%
474,42,長崎県,昭和,40.0,1965.0,,"1,641,245","-119,176",-7.26%
524,42,長崎県,昭和,45.0,1970.0,,"1,570,245","-71,000",-4.52%
574,42,長崎県,昭和,50.0,1975.0,,"1,571,912","1,667",0.11%
624,42,長崎県,昭和,55.0,1980.0,,"1,590,564","18,652",1.17%
674,42,長崎県,昭和,60.0,1985.0,,"1,593,968","3,404",0.21%
724,42,長崎県,平成,2.0,1990.0,,"1,562,959","-31,009",-1.98%
774,42,長崎県,平成,7.0,1995.0,,"1,544,934","-18,025",-1.17%
824,42,長崎県,平成,12.0,2000.0,,"1,516,523","-28,411",-1.87%
874,42,長崎県,平成,17.0,2005.0,,"1,478,632","-37,891",-2.56%
924,42,長崎県,平成,22.0,2010.0,,"1,426,779","-51,853",-3.63%
974,42,長崎県,平成,27.0,2015.0,,"1,377,187","-49,592",-3.60%
43,43,熊本県,大正,9.0,1920.0,,"1,233,233",0,0.00%
91,43,熊本県,大正,14.0,1925.0,,"1,296,086","62,853",4.85%
139,43,熊本県,昭和,5.0,1930.0,,"1,353,993","57,907",4.28%
187,43,熊本県,昭和,10.0,1935.0,,"1,387,054","33,061",2.38%
235,43,熊本県,昭和,15.0,1940.0,,"1,368,179","-18,875",-1.38%
283,43,熊本県,昭和,20.0,1945.0,1),"1,556,490","188,311",12.10%
331,43,熊本県,昭和,25.0,1950.0,,"1,827,582","271,092",14.83%
379,43,熊本県,昭和,30.0,1955.0,,"1,895,663","68,081",3.59%
427,43,熊本県,昭和,35.0,1960.0,2),"1,856,192","-39,471",-2.13%
475,43,熊本県,昭和,40.0,1965.0,,"1,770,736","-85,456",-4.83%
525,43,熊本県,昭和,45.0,1970.0,,"1,700,229","-70,507",-4.15%
575,43,熊本県,昭和,50.0,1975.0,,"1,715,273","15,044",0.88%
625,43,熊本県,昭和,55.0,1980.0,,"1,790,327","75,054",4.19%
675,43,熊本県,昭和,60.0,1985.0,,"1,837,747","47,420",2.58%
725,43,熊本県,平成,2.0,1990.0,,"1,840,326","2,579",0.14%
775,43,熊本県,平成,7.0,1995.0,,"1,859,793","19,467",1.05%
825,43,熊本県,平成,12.0,2000.0,,"1,859,344",-449,-0.02%
875,43,熊本県,平成,17.0,2005.0,,"1,842,233","-17,111",-0.93%
925,43,熊本県,平成,22.0,2010.0,,"1,817,426","-24,807",-1.36%
975,43,熊本県,平成,27.0,2015.0,,"1,786,170","-31,256",-1.75%
44,44,大分県,大正,9.0,1920.0,,"860,282",0,0.00%
92,44,大分県,大正,14.0,1925.0,,"915,136","54,854",5.99%
140,44,大分県,昭和,5.0,1930.0,,"945,771","30,635",3.24%
188,44,大分県,昭和,10.0,1935.0,,"980,458","34,687",3.54%
236,44,大分県,昭和,15.0,1940.0,,"972,975","-7,483",-0.77%
284,44,大分県,昭和,20.0,1945.0,1),"1,124,513","151,538",13.48%
332,44,大分県,昭和,25.0,1950.0,,"1,252,999","128,486",10.25%
380,44,大分県,昭和,30.0,1955.0,,"1,277,199","24,200",1.89%
428,44,大分県,昭和,35.0,1960.0,2),"1,239,655","-37,544",-3.03%
476,44,大分県,昭和,40.0,1965.0,,"1,187,480","-52,175",-4.39%
526,44,大分県,昭和,45.0,1970.0,,"1,155,566","-31,914",-2.76%
576,44,大分県,昭和,50.0,1975.0,,"1,190,314","34,748",2.92%
626,44,大分県,昭和,55.0,1980.0,,"1,228,913","38,599",3.14%
676,44,大分県,昭和,60.0,1985.0,,"1,250,214","21,301",1.70%
726,44,大分県,平成,2.0,1990.0,,"1,236,942","-13,272",-1.07%
776,44,大分県,平成,7.0,1995.0,,"1,231,306","-5,636",-0.46%
826,44,大分県,平成,12.0,2000.0,,"1,221,140","-10,166",-0.83%
876,44,大分県,平成,17.0,2005.0,,"1,209,571","-11,569",-0.96%
926,44,大分県,平成,22.0,2010.0,,"1,196,529","-13,042",-1.09%
976,44,大分県,平成,27.0,2015.0,,"1,166,338","-30,191",-2.59%
45,45,宮崎県,大正,9.0,1920.0,,"651,097",0,0.00%
93,45,宮崎県,大正,14.0,1925.0,,"691,094","39,997",5.79%
141,45,宮崎県,昭和,5.0,1930.0,,"760,467","69,373",9.12%
189,45,宮崎県,昭和,10.0,1935.0,,"824,431","63,964",7.76%
237,45,宮崎県,昭和,15.0,1940.0,,"840,357","15,926",1.90%
285,45,宮崎県,昭和,20.0,1945.0,1),"913,687","73,330",8.03%
333,45,宮崎県,昭和,25.0,1950.0,,"1,091,427","177,740",16.29%
381,45,宮崎県,昭和,30.0,1955.0,,"1,139,384","47,957",4.21%
429,45,宮崎県,昭和,35.0,1960.0,2),"1,134,590","-4,794",-0.42%
477,45,宮崎県,昭和,40.0,1965.0,,"1,080,692","-53,898",-4.99%
527,45,宮崎県,昭和,45.0,1970.0,,"1,051,105","-29,587",-2.81%
577,45,宮崎県,昭和,50.0,1975.0,,"1,085,055","33,950",3.13%
627,45,宮崎県,昭和,55.0,1980.0,,"1,151,587","66,532",5.78%
677,45,宮崎県,昭和,60.0,1985.0,,"1,175,543","23,956",2.04%
727,45,宮崎県,平成,2.0,1990.0,,"1,168,907","-6,636",-0.57%
777,45,宮崎県,平成,7.0,1995.0,,"1,175,819","6,912",0.59%
827,45,宮崎県,平成,12.0,2000.0,,"1,170,007","-5,812",-0.50%
877,45,宮崎県,平成,17.0,2005.0,,"1,153,042","-16,965",-1.47%
927,45,宮崎県,平成,22.0,2010.0,,"1,135,233","-17,809",-1.57%
977,45,宮崎県,平成,27.0,2015.0,,"1,104,069","-31,164",-2.82%
46,46,鹿児島県,大正,9.0,1920.0,,"1,415,582",0,0.00%
94,46,鹿児島県,大正,14.0,1925.0,,"1,472,193","56,611",3.85%
142,46,鹿児島県,昭和,5.0,1930.0,,"1,556,690","84,497",5.43%
190,46,鹿児島県,昭和,10.0,1935.0,,"1,591,466","34,776",2.19%
238,46,鹿児島県,昭和,15.0,1940.0,,"1,589,467","-1,999",-0.13%
286,46,鹿児島県,昭和,20.0,1945.0,1),"1,538,466","-51,001",-3.32%
334,46,鹿児島県,昭和,25.0,1950.0,,"1,804,118","265,652",14.72%
382,46,鹿児島県,昭和,30.0,1955.0,,"2,044,112","239,994",11.74%
430,46,鹿児島県,昭和,35.0,1960.0,2),"1,963,104","-81,008",-4.13%
478,46,鹿児島県,昭和,40.0,1965.0,,"1,853,541","-109,563",-5.91%
528,46,鹿児島県,昭和,45.0,1970.0,,"1,729,150","-124,391",-7.19%
578,46,鹿児島県,昭和,50.0,1975.0,,"1,723,902","-5,248",-0.30%
628,46,鹿児島県,昭和,55.0,1980.0,,"1,784,623","60,721",3.40%
678,46,鹿児島県,昭和,60.0,1985.0,,"1,819,270","34,647",1.90%
728,46,鹿児島県,平成,2.0,1990.0,,"1,797,824","-21,446",-1.19%
778,46,鹿児島県,平成,7.0,1995.0,,"1,794,224","-3,600",-0.20%
828,46,鹿児島県,平成,12.0,2000.0,,"1,786,194","-8,030",-0.45%
878,46,鹿児島県,平成,17.0,2005.0,,"1,753,179","-33,015",-1.88%
928,46,鹿児島県,平成,22.0,2010.0,,"1,706,242","-46,937",-2.75%
978,46,鹿児島県,平成,27.0,2015.0,,"1,648,177","-58,065",-3.52%
47,47,沖縄県,大正,9.0,1920.0,,"571,572","-1,076,605",-188.36%
95,47,沖縄県,大正,14.0,1925.0,,"557,622","-13,950",-2.50%
143,47,沖縄県,昭和,5.0,1930.0,,"577,509","19,887",3.44%
191,47,沖縄県,昭和,10.0,1935.0,,"592,494","14,985",2.53%
239,47,沖縄県,昭和,15.0,1940.0,,"574,579","-17,915",-3.12%
335,47,沖縄県,昭和,25.0,1950.0,,"914,937","340,358",37.20%
383,47,沖縄県,昭和,30.0,1955.0,,"801,065","-113,872",-14.22%
431,47,沖縄県,昭和,35.0,1960.0,2),"883,122","82,057",9.29%
479,47,沖縄県,昭和,40.0,1965.0,,"934,176","51,054",5.47%
529,47,沖縄県,昭和,45.0,1970.0,,"945,111","10,935",1.16%
579,47,沖縄県,昭和,50.0,1975.0,,"1,042,572","97,461",9.35%
629,47,沖縄県,昭和,55.0,1980.0,,"1,106,559","63,987",5.78%
679,47,沖縄県,昭和,60.0,1985.0,,"1,179,097","72,538",6.15%
729,47,沖縄県,平成,2.0,1990.0,,"1,222,398","43,301",3.54%
779,47,沖縄県,平成,7.0,1995.0,,"1,273,440","51,042",4.01%
829,47,沖縄県,平成,12.0,2000.0,,"1,318,220","44,780",3.40%
879,47,沖縄県,平成,17.0,2005.0,,"1,361,594","43,374",3.19%
929,47,沖縄県,平成,22.0,2010.0,,"1,392,818","31,224",2.24%
979,47,沖縄県,平成,27.0,2015.0,,"1,433,566","40,748",2.84%
